nom,prenom,age,sexe,ville,domaine,attentes
Dupont,Jean,45,M,Paris,Tech,Confiance en soi
Martin,Sophie,38,F,Lyon,Marketing,Leadership
Bernard,Marc,52,M,Bordeaux,Finance,Mentorat
Lefevre,Claire,41,F,Toulouse,RH,Gestion du stress
Moreau,Thomas,48,M,Nice,Commercial,Vision stratégique
Petit,Isabelle,44,F,Marseille,Communication,Développement personnel
Dubois,Laurent,56,M,Lille,Tech,Mentorat
Dubois,Marie,39,F,Nantes,Ventes,Leadership
Renard,Philippe,50,M,Strasbourg,Finance,Culture d'entreprise
Michel,Valérie,43,F,Montpellier,RH,Confiance en soi
Fournier,André,47,M,Rennes,Tech,Gestion de projet
Girard,Nathalie,42,F,Nancy,Marketing,Communication
Gérard,Claude,54,M,Dijon,Finance,Mentorat
Gauthier,Sandrine,40,F,Limoges,Commercial,Leadership
Gillet,François,49,M,Amiens,Tech,Stratégie
Gaston,Delphine,44,F,Angers,Communication,Développement
Gautier,Bruno,53,M,Grenoble,Finance,Excellence
Gariépy,Sylvie,46,F,Versailles,Marketing,Innovation
Garçon,Éric,51,M,Boulogne,Tech,Vision
Garnier,Corinne,38,F,Cannes,RH,Confiance
Gaspard,Roger,55,M,Antibes,Finance,Leadership
Gasquet,Arlette,43,F,Monaco,Commercial,Mentorat
Gastal,Gilbert,48,M,Menton,Tech,Culture
Gastaldi,Yvette,41,F,Hyères,Communication,Développement
Gâteux,Hervé,50,M,Toulon,Finance,Stratégie
Gateau,Joëlle,45,F,Perpignan,Marketing,Leadership
Gâteau,Serge,47,M,Colmar,Tech,Innovation
Gâterie,Nadine,42,F,Mulhouse,RH,Confiance
Gâtesse,Vincent,49,M,Besançon,Commercial,Excellence
Gâtets,Michèle,44,F,Belfort,Communication,Mentorat
